######################################
Exploring the best parameters for the kernel mandel
using default
######################################
cpu,th,tw,threads,schedule,schedule_n,time
cortex,1024,256,4,dynamic,3,10979.685
denver,1024,256,1,dynamic,3,9443.531
denver,1024,256,2,dynamic,3,8071.156
cortex,1024,512,1,dynamic,3,12603.521
cortex,1024,512,2,dynamic,3,12631.617
denver,1024,512,1,dynamic,3,9234.935
denver,1024,512,2,dynamic,3,9204.175

# under 3000ms
full_system,64,64,6,static,1,2840.531
full_system,64,128,6,static,1,2996.948
full_system,64,256,6,static,1,2566.211
full_system,128,64,6,static,1,2957.591
full_system,256,64,6,static,1,2657.949
full_system,256,256,6,static,1,2956.679
full_system,1024,64,6,static,1,2912.659
full_system,128,128,6,static,3,2965.859
full_system,64,64,6,dynamic,1,2820.350
full_system,512,64,6,dynamic,1,2882.839
full_system,1024,64,6,dynamic,1,2760.596 #BEST CONFIGURATION
full_system,128,256,6,dynamic,3,2980.233
